"Displacement from bottom transducer array","Acoustic Radiation Force (ARF), 3x3 array","Acoustic Radiation Force (ARF), 5x7 array"
0.0171,9.74E-07,2.85E-06
0.0172,1.12E-06,3.07E-06
0.0173,1.26E-06,3.25E-06
0.0174,1.37E-06,3.38E-06
0.0175,1.46E-06,3.46E-06
0.0176,1.52E-06,3.49E-06
0.0177,1.56E-06,3.47E-06
0.0178,1.57E-06,3.39E-06
0.0179,1.55E-06,3.26E-06
0.018,1.50E-06,3.08E-06
0.0181,1.43E-06,2.84E-06
0.0182,1.33E-06,2.57E-06
0.0183,1.21E-06,2.25E-06
0.0184,1.07E-06,1.89E-06
0.0185,9.10E-07,1.50E-06
0.0186,7.32E-07,1.08E-06
0.0187,5.40E-07,6.40E-07
0.0188,3.38E-07,1.86E-07
0.0189,1.30E-07,2.75E-07
0.019,8.15E-08,7.37E-07
0.0191,2.92E-07,1.19E-06
0.0192,4.98E-07,1.63E-06
0.0193,6.97E-07,2.06E-06
0.0194,8.83E-07,2.45E-06
0.0195,1.05E-06,2.81E-06
0.0196,1.21E-06,3.14E-06
0.0197,1.34E-06,3.42E-06
0.0198,1.45E-06,3.65E-06
0.0199,1.54E-06,3.83E-06
0.02,1.59E-06,3.95E-06
0.0201,1.62E-06,4.01E-06
0.0202,1.63E-06,4.02E-06
0.0203,1.60E-06,3.97E-06
0.0204,1.55E-06,3.86E-06
0.0205,1.46E-06,3.69E-06
0.0206,1.36E-06,3.47E-06
0.0207,1.23E-06,3.19E-06
0.0208,1.07E-06,2.87E-06
0.0209,9.04E-07,2.51E-06
0.021,7.17E-07,2.10E-06
0.0211,5.17E-07,1.67E-06
0.0212,3.09E-07,1.21E-06
0.0213,9.45E-08,7.34E-07
0.0214,1.21E-07,2.46E-07
0.0215,3.35E-07,2.46E-07
0.0216,5.43E-07,7.34E-07
0.0217,7.41E-07,1.21E-06
0.0218,9.26E-07,1.67E-06
0.0219,1.10E-06,2.10E-06
0.022,1.25E-06,2.51E-06
0.0221,1.37E-06,2.87E-06
0.0222,1.48E-06,3.19E-06
0.0223,1.56E-06,3.47E-06
0.0224,1.61E-06,3.69E-06
0.0225,1.63E-06,3.86E-06
0.0226,1.62E-06,3.97E-06
0.0227,1.59E-06,4.02E-06
0.0228,1.53E-06,4.01E-06
0.0229,1.44E-06,3.95E-06
0.023,1.33E-06,3.83E-06
0.0231,1.19E-06,3.65E-06
0.0232,1.04E-06,3.42E-06
0.0233,8.62E-07,3.14E-06
0.0234,6.74E-07,2.81E-06
0.0235,4.74E-07,2.45E-06
0.0236,2.67E-07,2.06E-06
0.0237,5.58E-08,1.63E-06
0.0238,1.56E-07,1.19E-06
0.0239,3.64E-07,7.37E-07
0.024,5.65E-07,2.75E-07
0.0241,7.56E-07,1.87E-07
0.0242,9.33E-07,6.40E-07
0.0243,1.09E-06,1.08E-06
0.0244,1.23E-06,1.50E-06
0.0245,1.35E-06,1.89E-06
0.0246,1.45E-06,2.25E-06
0.0247,1.51E-06,2.57E-06
0.0248,1.56E-06,2.84E-06
0.0249,1.57E-06,3.08E-06
0.025,1.56E-06,3.26E-06
0.0251,1.52E-06,3.39E-06
0.0252,1.45E-06,3.47E-06
0.0253,1.36E-06,3.49E-06
0.0254,1.25E-06,3.46E-06
0.0255,1.11E-06,3.38E-06
0.0256,9.58E-07,3.25E-06
0.0257,7.88E-07,3.07E-06
0.0258,6.06E-07,2.85E-06
0.0259,4.15E-07,2.59E-06
0.026,2.18E-07,2.29E-06
0.0261,1.77E-08,1.96E-06
0.0262,1.81E-07,1.61E-06
0.0263,3.75E-07,1.24E-06
0.0264,5.61E-07,8.58E-07
0.0265,7.36E-07,4.68E-07
0.0266,8.96E-07,7.71E-08
0.0267,1.04E-06,3.08E-07
0.0268,1.16E-06,6.81E-07
0.0269,1.27E-06,1.04E-06
0.027,1.35E-06,1.37E-06
0.0271,1.40E-06,1.68E-06
0.0272,1.43E-06,1.95E-06
0.0273,1.44E-06,2.19E-06
0.0274,1.41E-06,2.39E-06
0.0275,1.37E-06,2.55E-06
0.0276,1.30E-06,2.66E-06
0.0277,1.21E-06,2.74E-06
0.0278,1.10E-06,2.76E-06
0.0279,9.67E-07,2.75E-06
0.028,8.21E-07,2.69E-06
0.0281,6.62E-07,2.59E-06
0.0282,4.93E-07,2.46E-06
